""	"Mean MTP_MT"	"Mean MT_MB"	"clusters"
"2480"	0.04801029	0.2532628	7
"2482"	-0.005809769	0.264997	7
"2483"	0.0612731	0.2527507	7
"2484"	0.00348424	0.2678303	7
"2485"	0.06530439	0.2372608	7
"2486"	0.03117491	0.2786734	7
"2487"	-0.01599712	0.3222142	7
"2488"	0.05055816	0.229914	7
"2491"	0.0419628	0.2377188	7
"2495"	0.01569308	0.3043276	7
"2497"	0.001903522	0.2190452	7
"2498"	0.02377301	0.2619641	7
"2499"	0.08363947	0.2379198	7
"2500"	0.031411	0.304258	7
"2501"	-0.02333764	0.2498527	7
"2502"	0.08545275	0.2206326	7
"2503"	0.10782	0.2871593	7
"2504"	0.04137218	0.2295677	7
"2505"	0.03719534	0.230278	7
"2506"	-0.01048025	0.2191372	7
"2507"	0.02939345	0.2129059	7
"2508"	0.052297	0.2374425	7
"2509"	0.001626165	0.2357379	7
"2510"	0.05003367	0.2330392	7
"2511"	-0.04633798	0.2601179	7
"2512"	0.0116682	0.2501993	7
"2513"	-0.002988906	0.2451558	7
"2514"	0.0313639	0.2970698	7
"2515"	0.07211421	0.2123101	7
"2516"	-0.00757762	0.2552436	7
"2517"	0.002500219	0.2179097	7
"2518"	-0.02912512	0.2988553	7
"2519"	-0.00815736	0.2630042	7
"2520"	0.01675137	0.2237129	7
"2522"	0.03655608	0.3199952	7
"2523"	0.05405894	0.2149941	7
"2524"	-0.02422642	0.2191951	7
"2525"	0.07129659	0.2986393	7
"2526"	0.002590733	0.2468495	7
"2527"	0.01869759	0.2439329	7
"2528"	0.001056534	0.2402609	7
"2529"	0.1134531	0.2863505	7
"2530"	0.003447732	0.2890401	7
"2531"	-0.04428674	0.3310098	7
"2532"	-0.004733179	0.3265998	7
"2533"	0.06957401	0.2579021	7
"2534"	0.02530008	0.2758049	7
"2536"	-0.0319884	0.319302	7
"2537"	0.04537317	0.2297473	7
"2538"	-0.02073457	0.3154806	7
"2539"	0.06736147	0.2361795	7
"2540"	0.0044472	0.2357205	7
"2541"	-0.01116821	0.2407629	7
"2542"	0.1029216	0.2439331	7
"2543"	0.08341655	0.2909686	7
"2544"	0.005981171	0.3344905	7
