""	"mean_Exp_ATOM11"	"mean_Exp_ATOM12"	"mean_Exp_ATOM14"	"mean_Exp_ATOM40"	"mean_Exp_ATOM46"	"mean_Exp_ATOM69"
"Tb927.3.3610"	0.138965337693692	0.0203009452609853	0.0462795751166884	0.20679094780005	-0.0111973671735283	0.183404258665521
"Tb927.9.9660"	-0.0399390173824698	-0.051195495693545	-0.029729498494784	-1	-0.00590985098455838	0.087353733677796
"Tb927.7.320"	0.140282830427853	-0.0534098111287458	0.181844863988715	0.000289127194385631	0.317531505839109	0.387345383314175
"Tb927.9.12710"	-0.25515131056265	-0.255446025210133	-0.441885083759538	-0.384448510621249	-0.415971791640138	-0.118497067354644
"Tb927.10.4430;Tb10.v4.0033;Tb11.v5.0767"	0.148132013001973	-0.0123253421223003	0.107646515629934	-0.0816482327043454	0.0100263858669806	0.345404439774574
"Tb927.10.4490;Tb10.v4.0039"	-0.0545476510501116	-0.047610203571013	-0.0368491087620197	-0.0744250449799122	-0.00340201677924601	-0.0639724481429959
"Tb11.0400;Tb927.11.7700;Tb11.0300"	-0.181891204068969	-0.144515542680489	-0.467022825610148	-0.317186151262489	-0.0456432219239858	-0.240767082763839
"Tb927.7.4480;Tb11.v5.0261"	-0.105411931049461	-0.213420532633889	-0.271148601126001	-0.286897463367604	-0.124641724191883	-0.109170077433329
"Tb927.10.16150;Tb11.v5.0397"	-0.233398707550432	-0.136217989889522	-0.285248621545808	-0.345598399549906	-0.0357815556007766	-0.196198773843419
"Tb927.1.3950"	-0.28119458570474	-0.36719981370115	-0.467546932630521	-0.325243242636703	-0.197678987475181	-0.236390410180661
"Tb927.1.4100"	-0.132216379371495	-0.124732581565646	-0.43306167160736	-0.286434703916453	-0.0268206683218786	-0.134135154463994
"Tb927.1.880;Tb11.v5.0418;Tb11.v5.0419"	0.115656402787178	0.0458966563102463	0.0807192112037436	-0.118326714934761	0.0426060829454529	0.417631180934274
"Tb927.10.11060"	-0.286089023084779	-0.164557925741958	-0.249875538984578	-0.501232287994764	-0.0838205447054168	-0.120703392145468
"Tb927.10.11350"	-0.337309020170713	-0.212088470733918	-0.333116698449015	-0.398073625601323	-0.0411884079947438	-0.142267376712798
"Tb927.10.11370"	-0.191269557943155	-0.198148080923672	-0.448554370590868	-0.374430755375624	-0.0766889973493649	-0.13603256291271
"Tb927.10.12540"	-0.116161619151472	-0.229491615859695	-0.503185937611661	-0.556626336793785	-0.0784189569322652	-0.14360459691879
"Tb927.10.13510"	-0.10038413162399	-0.035073340257412	-0.0953608347729298	-0.182440752935648	-0.0221178736596058	-0.18824498936661
"Tb927.10.14330"	0.22459628933574	-0.0610274939594263	0.1549986681425	-0.0505659921041559	-0.0203462313451106	0.413399803240627
"Tb927.10.1440"	-0.190624278494416	-0.182597348051515	-0.308182817096473	-0.378963533152737	-0.44701896625525	-0.0715586748723332
"Tb927.10.1660"	-0.265312715724786	-0.178016737140991	-0.406892240100518	-0.363213820493939	-0.0349287350676714	-0.251537708254743
"Tb927.10.1870"	-0.20344218791269	-0.232420111929695	-0.535414759647742	-0.414539312914817	-0.148262259678823	-0.195105048994807
"Tb927.10.2200"	-0.113943821911222	-0.107202124139162	-0.299241726326962	-0.279558078893256	-0.0358458455467735	-0.146594011686571
"Tb927.10.2550"	-0.223562826126235	-0.252193563258878	-0.313357572667507	-0.401624341220602	0.0179764461571198	-0.120888556465415
"Tb927.10.280"	-0.179088852212232	-0.168961006101952	-0.408232595100634	-0.309321529978935	-0.0374362659910761	-0.210743402463683
"Tb927.10.2970"	-0.113887252660669	-0.224907856077165	-0.46969706293592	-0.422001394185429	-0.027074098912361	-0.216913230763551
"Tb927.10.3270"	-0.396014875030892	-0.259879442594463	-0.639823139602826	-0.478039189129134	-0.191103819155145	-0.214319688299072
"Tb927.10.4220"	-0.215002326550936	-0.0989524338355464	-0.303150247993492	-0.26810617679169	-0.000406936941363875	-0.105480480868236
"Tb927.10.5660"	-0.194509714354377	-0.209149719561201	-0.393049646535847	-0.300330387839572	-0.0439681984372169	-0.248816874220885
"Tb927.10.600"	-0.312512801117641	-0.227559411791171	-0.533210862578908	-0.40859931519197	-0.0810259334028465	-0.128515147026094
"Tb927.10.6200"	-0.171056793005086	-0.208175132571395	-0.397782296533646	-0.375124866035359	-0.0571610333559731	-0.217652129530039
"Tb927.10.7380"	-0.198333311347363	-0.210542885769233	-0.534301404846118	-0.401626920108437	-0.105732999729382	-0.193661694552701
"Tb927.10.8320"	-0.192310730939046	-0.143633511407252	-0.423896708398324	-0.301878640496962	-0.0247975161962413	-0.232704948182343
"Tb927.11.10080"	-0.345023405411153	-0.242076046586198	-0.57810351841092	-0.399145598731756	-0.0585237492601799	-0.136608670357933
"Tb927.11.10170"	-0.388279394584877	-0.250184293852195	-0.572420445077435	-0.427009213492133	-0.05101864019166	-0.16047457569737
"Tb927.11.10570"	-0.269632352788727	-0.17698700058746	-0.513273595571562	-0.374939891607874	-0.0687727014043418	-0.166680191577443
"Tb927.11.11630"	-0.259451167814148	-0.229115293597596	-0.448567172421086	-0.369482103804328	-0.137125098273791	-0.134251038668067
"Tb927.11.12040"	-0.0682963249053737	-0.142055738560624	-0.389640940760103	-0.271215056181105	-0.0261162256328593	-0.212117068814591
"Tb927.11.12200"	-0.315722084895999	-0.315281950154603	-0.479192987875447	-0.509963509822736	-0.32470405862303	-0.221775228984025
"Tb927.11.12850"	-0.127423351573754	-0.254858671833444	-0.269308092252357	-0.266469999672895	-0.0253284622609956	-0.184623836794094
"Tb927.11.13510"	-0.245293620812287	-0.244065006949836	-0.311056778589161	-0.391644140559028	-0.23931431508084	-0.225222464420959
"Tb927.11.14730"	-0.162904713635181	-0.0707039330856038	-0.156314191279811	-0.271979675791564	-0.0141520522081245	-0.298686725877799
"Tb927.11.1630"	-0.28624182477618	-0.142467412912612	-0.336372662504896	-0.25597932083803	-0.0640572492635229	-0.168877298391326
"Tb927.11.16480"	-0.318080115164384	-0.285763139557706	-0.506089356985243	-0.428056751966088	-0.109500936508676	-0.215831371800234
"Tb927.11.4030"	0.269881373414523	0.0324531102661681	0.311450463639913	0.117599850385888	0.101310922500656	0.394557165250302
"Tb927.11.4650"	-0.260480188283274	-0.221993167104598	-0.315212883116408	-0.381395846877823	-0.050323523751618	-0.113251739435389
"Tb927.11.5090"	-0.232310501834828	-0.296154117016272	-0.47215645718693	-0.43357008506471	-0.325370446383567	-0.231042865130068
"Tb927.11.5230"	0.0898218777796749	-0.0198560010505009	0.243162940250592	-0.0257946595595306	0.0652820271355317	0.322675468573539
"Tb927.11.5530"	-0.312900405717849	-0.22125813390718	-0.630892942259274	-0.432547442496984	-0.116194120933896	-0.297101221040314
"Tb927.11.570"	0.0280971721936666	-0.146031346491608	-0.437540371988547	-0.401144517028762	-0.00144188587473921	-0.275799015945247
"Tb927.11.630"	0.201657386722395	-0.026150853542722	0.108330048021821	-0.210660241610532	-0.0368668251484892	0.373589660536446
"Tb927.11.7960"	-0.299664780103744	-0.245616434188091	-0.0950359407297307	-0.361470580761151	-0.079332873562429	-0.106679466469673
"Tb927.11.870"	-0.287985774911964	-0.184026322661655	-0.558782330768645	-0.410371265400772	-0.0487766322721361	-0.133671790615755
"Tb927.11.9450"	-0.265908850005813	-0.238570432194567	-0.479989854173158	-0.395708180241455	0.0029778861962	-0.0773887222038311
"Tb927.11.9670"	-0.221745110678828	-0.188518994602547	-0.381395445199243	-0.343873098943547	-0.0606095998959718	-0.075886587851435
"Tb927.2.4890;Tb927.2.4740"	-0.338827594933572	-0.19716752028797	-0.521446657976179	-0.412829514816282	-0.0248900233092894	-0.138069805391963
"Tb927.2.5160"	0.247873267161045	0.0249231353412587	0.355927948513491	0.0874421632080353	0.0602931637034557	0.420213440314168
"Tb927.3.1410"	-0.25336506212979	-0.13264217080844	-0.407115160418995	-0.304347226585666	-0.0325297348680871	-0.182924757621116
"Tb927.3.3570"	-0.219733567711726	-0.355651308806637	-0.486277005690939	-0.440949544735724	-0.197510748217172	-0.120612632780479
"Tb927.3.3780;Tb927.3.3760"	-0.220927396269268	-0.361439952616744	-0.382003041579038	-0.411397769982681	-0.174464139559262	-0.217625892599273
"Tb927.3.4990"	-0.253952687674046	-0.245410249806843	-0.354399941840282	-0.37324590211661	0.0156713538854764	-0.151017560340857
"Tb927.3.5240"	-0.320851031473204	-0.207037393096687	-0.430493478160534	-0.398364336181363	-0.0173028935784856	-0.124675060650397
"Tb927.3.5300"	-0.295926076179715	-0.232269358541884	-0.517938673203599	-0.394456413541519	-0.0933570748891832	-0.119136007052
"Tb927.3.820"	-0.312991544835606	-0.196160569218453	-0.498437941414941	-0.412883879465005	-0.10212198456148	-0.153176908148935
"Tb927.4.1760"	-0.326218346629882	-0.355335660990588	-0.560855366733484	-0.505053347202315	-0.075146692379167	-0.229103735298533
"Tb927.4.4640"	-0.27238470594018	-0.192154762459097	-0.592746064734371	-0.298585117845799	-0.0788175398924179	-0.112483608933458
"Tb927.4.5120"	-0.169381819237726	-0.106894491052333	-0.304875099761148	-0.422326279687784	-0.0448784303297505	-0.129336857893098
"Tb927.4.930"	0.16390140873236	-0.241228127699589	-0.58535139251679	-0.289083880879758	-0.0823654198848449	-0.0993132067387387
"Tb927.5.1510"	-0.258893790847033	-0.183044879950223	-0.367766370524978	-0.380008385210123	-0.0786308238757094	-0.0543360313015756
"Tb927.5.2070"	-0.109121654613087	-0.201064970605676	-0.306424353534387	-0.398307208203309	-0.0394626294104695	-0.0869535720134981
"Tb927.5.2830"	-0.194162945235978	-0.14192558286262	-0.314158960186667	-0.323529329933441	0.0407363845910547	-0.135158341161235
"Tb927.5.3110"	-0.328487001214716	-0.259531011722209	-0.525468585148048	-0.418821488667932	-0.0748316290448689	-0.133178720587228
"Tb927.5.3360"	-0.2336483349114	-0.224551856743335	-0.290663369433107	-0.382720672323551	-0.0606548812608906	-0.101038819853067
"Tb927.5.3410"	-0.258517038611668	-0.176022288108698	-0.252870393113961	-0.371087829384297	-0.0265808396382292	-0.105518004480025
"Tb927.5.740"	-0.263310463626932	-0.301066134696504	-0.536964356801543	-0.3692912635183	-0.102583036162559	-0.415371440629069
"Tb927.6.1410"	-0.178965616237162	-0.27324526649208	-0.525675386713577	-0.515715922871957	-0.0586872104056256	-0.156800494681196
"Tb927.6.1570"	-0.169522850747368	-0.367551847025441	-0.325719821117232	-0.435892018003298	-0.0603319469034931	-0.130805433753929
"Tb927.6.1700"	-0.372901242807978	-0.310851499212434	-0.427405793667744	-0.411240114917544	-0.148905644751944	-0.213527709928396
"Tb927.6.1840"	-0.0348576489673515	-0.293307465588468	-0.405672295116919	-0.431029509280262	-0.0443612731335012	-0.0721663927388616
"Tb927.6.3930"	-0.297998180449952	-0.314910065184108	-0.434245148219992	-0.342556356937346	-0.0792479095628092	-0.133041689129772
"Tb927.6.4040"	-0.258686237901411	-0.159043725682016	-0.514896697440374	-0.379139292280817	-0.0494355757398415	-0.0991016334269873
"Tb927.6.4070"	-0.248501928099354	-0.143751146495103	-0.316883991966039	-0.319944163144593	-0.0450422342764347	-0.318266801189776
"Tb927.6.4080"	-0.309781165156969	-0.250116740941649	-0.493906647729632	-0.39710465782998	-0.104049659540426	-0.135649899199357
"Tb927.6.4530"	0.0933779784813746	-0.067130777206004	0.132510890988308	-0.0452826671588223	0.00900138811239892	0.375689274421892
"Tb927.7.2680"	0.297433121771483	-0.0672233667625158	0.0993313856243346	-0.189268973367078	0.112808511213852	0.444860358039114
"Tb927.7.2760"	0.35502355685637	-0.200714669191335	-0.529984341344342	-0.373151227307194	-0.0657089788737984	-0.127015793587948
"Tb927.7.3030;Tb927.7.2990"	-0.34560951824694	-0.207498627536324	-0.522670585502026	-0.398711337604531	-0.0954253050667161	-0.177590939679269
"Tb927.7.3960"	-0.134028172581497	-0.14058015624348	-0.338602185094412	-0.312775034602062	-0.0727428897614485	-0.0793743659288287
"Tb927.7.6350"	-0.213104843509099	-0.166285884492512	-0.520475511490905	-0.431444255730681	-0.0636027376773346	-0.11615484397131
"Tb927.7.7090"	-0.0548988620990714	-0.163086440138031	-0.434356758337746	-0.246889098138132	-0.052004487668623	-0.218630313136908
"Tb927.7.7330"	-0.137678066152071	-0.360299270994511	-0.362285914101765	-0.376093889018862	-0.077865705570186	-0.17763279027184
"Tb927.8.1440"	-0.126985188807343	-0.229627010765828	-0.419415952182903	-0.252271036814709	-0.131242578861361	-0.115251296068363
"Tb927.8.1880"	-0.293841491661954	-0.160985129673679	-0.546029839472084	-0.372262002021965	-0.092128095485173	-0.112019623604141
"Tb927.8.5860"	-0.357332266262876	-0.261059057069007	-0.546335346274209	-0.396561141065352	-0.0758165382239531	-0.10902015841922
"Tb927.8.6000"	-0.332003985153619	-0.062294837311398	-0.459803778301353	-0.330898258366051	-0.0411377306971107	-0.154562001263153
"Tb927.8.7010"	-0.291598719831488	-0.30616786096242	-0.602850587040853	-0.659270745508816	-0.109541419819218	-0.158387105488384
"Tb927.9.3170"	-0.157321828110007	-0.13281058476912	-0.427409420449011	-0.2976015814629	-0.0261700461276949	-0.13906042009179
"Tb927.9.3640"	-0.190508014820525	-0.195211718991765	-0.492379600948839	-0.430368684447926	-0.0307633787229333	-0.0812262779975379
"Tb927.9.5730"	0.148021394178264	-0.0932054060013796	0.152291589458487	0.0256047680363669	0.0841340666041652	0.3214776446578
"Tb927.9.6620"	-0.258830090800374	-0.117799472327984	-0.313315726600115	-0.409423432899516	-0.106143909948057	-0.140236348387644
"Tb927.9.6910"	-0.230016593901263	-0.243029412646387	-0.486079907157215	-0.428660505733193	-0.0811199283154329	-0.167453164376638
"Tb927.9.7200"	0.381222407383936	-0.266028462703532	-0.335605704251578	-0.625758971271039	-0.0342537654811456	0.694661368785903
"Tb927.9.7830"	-0.15666534998218	-0.137370435519585	-0.451224004451225	-0.318995614352352	-0.0320650839122669	-0.156535526151688
